Name of School,State,Feb,March,April,qtr
Shree Subhash Vidhya Mandir Senior Secondary School,Rajasthan,11,25,0,12
Shri Krishna Public Secondary School,Rajasthan,24,34,3,20
Shri Lal Bahadur Shastri National School,Rajasthan,14,16,3,11
Shrimati Rameshwari Devi Kishan Lal Vidhya Mandir,Rajasthan,16,40,0,19
Shri Veer Durgadas ,Rajasthan,22,38,4,21
Shri Vishwamiitra Senior Secondary School,Rajasthan,15,18,0,11
Shubham Gurukul Secondary School ,Rajasthan,39,23,3,22
Smt. Kesi Devi Memorial Senior Secondary,Rajasthan,28,26,0,18
Sun Shine Public School,Rajasthan,10,16,0,9
Suraiya Upper Primary School,Rajasthan,9,15,2,9
Umed Public School ,Rajasthan,16,42,4,21
Vivekanand Secondary School ,Rajasthan,8,12,0,7
Adarsh Bal Vidhya Mandir Senior Secondary School,Rajasthan,29,63,6,33
Maharana Pratap U. P. S. ,Rajasthan,29,40,5,25
Maharshi Dayanand Saraswati Upper Primary School,Rajasthan,29,7,16,17
Manasvi Public U. P. S.,Rajasthan,19,31,19,23
Modern Laxmi Pubiic Secondary School,Rajasthan,63,38,0,34
Nav Vikas Secondary School ,Rajasthan,29,30,8,22
Rajasthan Vidhya Vihar Secondary School,Rajasthan,27,52,1,27
Wagar Vidhya Vihar U. P. S. ,Rajasthan,26,41,3,23
Aagaz Samajik Vikas Sansthan,Rajasthan,36,3,6,15
Abha Modern Public School,Rajasthan,69,8,0,26
Acme Academy,Rajasthan,32,0,23,18
Akash Deep Public Secondary School,Rajasthan,3,13,1,6
Amar Deep Public Secondary School,Rajasthan,1,14,1,5
Aradhana Public Secondary School,Rajasthan,3,20,1,8
Blooming Buds Academy,Rajasthan,84,33,0,39
Bright Children Academy,Rajasthan,9,0,8,6
Bright Future Public School ,Rajasthan,44,50,24,39
Chaudhary Sr. Sec. School,Rajasthan,2,5,1,3
D. A. V. Senior Secondary School,Rajasthan,0,0,2,1
Dev Internaional School,Rajasthan,12,0,0,4
Greenfield Academy,Rajasthan,0,6,3,3
Greenland Academy,Rajasthan,0,14,0,5
Hera English Medium School,Rajasthan,14,9,0,8
Kids World School,Rajasthan,14,1,2,6
Laxmi Bal Niketan School,Rajasthan,17,9,0,9
Mayuraj Central Academy,Rajasthan,4,5,0,3
Neha Public Senior Secondary School,Rajasthan,2,12,0,5
New Indian Academy,Rajasthan,4,3,22,10
New Pupils Academy,Rajasthan,10,3,4,6
Noble Scholars' School,Rajasthan,27,5,10,14
Raghuraj Academy Sr. Sec. School,Rajasthan,3,0,0,1
Rajhans Public Secondary School,Rajasthan,21,9,0,10
Rajashree Public School,Rajasthan,0,0,4,1
Sahara Public School,Rajasthan,1,5,0,2
Sharada Secondery School,Rajasthan,51,23,2,25
Small Wonder Academy,Rajasthan,14,1,7,7
Small Wonder Academy,Rajasthan,23,1,7,10
S. R. International Academy,Rajasthan,11,0,1,4
St. Sandipan Sec. School,Rajasthan,1,2,0,1
St.Verona Academy,Rajasthan,12,0,7,6
Sun Flower Secondary School,Rajasthan,19,1,5,8
Sunrise Academy,Rajasthan,13,0,7,7
Sushil Public Secondry School2,Rajasthan,3,9,3,5
Tak Public School ,Rajasthan,8,3,0,4
The Indian Public Secondary School,Rajasthan,4,1,2,2
Twinkle Kids School,Rajasthan,5,3,3,4
"Urban Learning Centre, 90 Feet Bhatta Basti",Rajasthan,0,0,0,0
"Urban Learning Centre, Chandpole",Rajasthan,15,5,0,7
Vinayak Public Secondary School,Rajasthan,33,12,6,17
Adarsh Vidhya Mandir Secondary School,Rajasthan,41,33,1,25
Arihant Bal Vidhya Mandir U. P. S. ,Rajasthan,22,43,32,32
Bal Bharti Adarsh Vidhya Mandir Secondary School,Rajasthan,19,22,3,15
Central Public Secondary School,Rajasthan,27,33,2,21
Dhruv Shiksha Mandir Secondary,Rajasthan,44,41,3,29
Eklavya Ups Shiksshan Sasthan,Rajasthan,25,24,2,17
Gayatri Vidhaya Mandir U. P. S.,Rajasthan,60,40,1,34
Gyan Bharti U.P. Public School ,Rajasthan,35,27,12,25
Hans Vahini Ball Vidya Mandir U. P. S. ,Rajasthan,62,90,0,51
Jyoti Children Senior Secondary School ,Rajasthan,21,38,6,22
Man Sarswati Vidya Mandir Secondary School,Rajasthan,21,29,2,17
Sadhana Shri U. P. S. Vidhya Mandir,Rajasthan,44,45,8,32
Saraswati Sishu Mandir Secondary School,Rajasthan,23,24,12,20
Saraswati Sishu Mandir U. P. S.,Rajasthan,9,33,6,16
Shree Mahavir Digambar Secondary School,Rajasthan,7,3,13,8
Smart Kids Public U. P. S. ,Rajasthan,48,79,10,46
Smart Kids Public U. P. S. ,Rajasthan,49,79,10,46
Ujjawal Vidhya Mandir U. P. S. ,Rajasthan,37,68,10,38
Vivekanand Shiksha Samiti U. P. S.,Rajasthan,15,24,8,16
PCVC Jodhpur,Rajasthan,0,0,0,0
Abhinandan Secondary School,Rajasthan,10,20,4,11
Ankit Public Senior Secondary School,Rajasthan,34,32,3,23
Govind Gyan Mandir U. P. S.,Rajasthan,31,12,2,15
Gyatri Public Middle School,Rajasthan,15,3,0,6
Hansavas Upper Primary School,Rajasthan,13,3,0,5
Jagrti Vidya Niketan Upper Primary School,Rajasthan,21,6,0,9
Maharshi Gautam Gyan Mandir Secondary School,Rajasthan,31,13,13,19
New Vikas Bal Sadan Upper Primary School,Rajasthan,19,26,15,20
Noble Public Middle School,Rajasthan,34,48,0,27
Ravindra Secondary School,Rajasthan,10,17,0,9
Sophia Senior Secondary School,Rajasthan,21,0,0,7
Talent Academy Secondary School,Rajasthan,19,14,4,12
Brilliant Stars English Medium School,Tripura,11,0,0,4
Adarsha Janta Prathmic High School,Uttar Pradesh,0,0,0,0
Arya Basic Inter College,Uttar Pradesh,21,6,0,9
Bal Mitra School (MIS),Uttar Pradesh,0,0,2,1
Bal Mitra School,Uttar Pradesh,9,5,1,5
Bal Shiksha Niketan School,Uttar Pradesh,7,25,0,11
Bright Way Public School,Uttar Pradesh,0,0,0,0
Brij Bihari Singh Girls Inter College,Uttar Pradesh,0,0,0,0
Children's Academy Junior High School,Uttar Pradesh,31,21,0,17
Divyabha Girls Inter College,Uttar Pradesh,1,0,0,0
Divyabha Inter College,Uttar Pradesh,0,0,0,0
Dr. Murli Manohar Joshi Inter College,Uttar Pradesh,21,1,2,8
Genius Public Inter College,Uttar Pradesh,6,7,4,6
Late. S. Jagpat Singh Singri Balika Inter College,Uttar Pradesh,8,0,0,3
Jemili Kant Public School,Uttar Pradesh,1,2,0,1
Krishnayan Public School,Uttar Pradesh,1,4,0,2
Lal Bihari Girls Inter College,Uttar Pradesh,0,3,1,1
Late R. P. Inter College ,Uttar Pradesh,4,0,0,1
Madhrsha Tauhir Public School,Uttar Pradesh,8,0,0,3
Mother Girls High School,Uttar Pradesh,20,11,4,12
Pancham Lal Ashram Higher Secondary School,Uttar Pradesh,15,15,6,12
Pragyabhya Purv Madhyamik Balika Vidyalaya,Uttar Pradesh,6,19,0,8
Radha Krishna Memorial  School,Uttar Pradesh,12,16,0,9
R. B. M. Inter College ,Uttar Pradesh,0,0,0,0
R. N. T. Inter College,Uttar Pradesh,0,0,0,0
Sahaj Puram Convent Inter College,Uttar Pradesh,0,0,0,0
Sanskaar Public School,Uttar Pradesh,14,0,14,9
Saraswati Vidya Mandir,Uttar Pradesh,24,2,1,9
Saraswati Junior High School,Uttar Pradesh,52,39,6,32
Saraswati Shishu Vidya Mandir,Uttar Pradesh,1,4,0,2
Sarda Vidya Mandir,Uttar Pradesh,29,5,0,11
Sarswati Shishu Vidya Mandir,Uttar Pradesh,2,22,0,8
S. D. Public School,Uttar Pradesh,0,0,0,0
Shraddha Public School,Uttar Pradesh,0,0,0,0
Shri Narayan Ashram Balika Intermediate College,Uttar Pradesh,9,0,4,4
D. N. M. S. Girls Inter College,Uttar Pradesh,13,0,7,7
Sri Sai Nath Vidya Mandir,Uttar Pradesh,31,35,0,22
S. S. Convent Intermediate College,Uttar Pradesh,11,0,0,4
Vivekanand Shiksha Niketan Inter College,Uttar Pradesh,0,10,0,3
Vivekanand Shiksha Niketan Inter College,Uttar Pradesh,0,10,0,3
Vivekanand Shiksha Nikatan,Uttar Pradesh,1,0,0,0
PCVC Centre - Bahraich,Uttar Pradesh,14,4,0,6
Acharya Raghuveer Inter College,Uttar Pradesh,10,0,0,3
Archies Education Centre,Uttar Pradesh,2,0,0,0
Babu Singh Shiksha Niketan,Uttar Pradesh,23,8,2,11
Bhartiya Vidya Mandir Inter college,Uttar Pradesh,13,38,22,24
Brij Lal Memorial Convent School,Uttar Pradesh,6,0,0,2
Gopi Krishan Inter College,Uttar Pradesh,13,0,0,4
Gram Bharati Public Junior High School,Uttar Pradesh,0,1,19,7
Guru Gorakh Nath Academy,Uttar Pradesh,13,9,2,8
Hathipur Junior High School,Uttar Pradesh,7,7,0,5
Indradhunsh School,Uttar Pradesh,51,11,0,21
Kamakhya Shiksha Niketan,Uttar Pradesh,17,26,4,16
K. B. S. Education Centre,Uttar Pradesh,29,14,3,15
Om Sarashwati Inter College,Uttar Pradesh,4,13,10,9
Pt. Shatrughn Shiksha Niketan Junior High School,Uttar Pradesh,28,2,1,10
Paramount Convent School,Uttar Pradesh,38,3,0,14
Peagasus Public School,Uttar Pradesh,16,6,1,8
Rajender Prasad Shiksha Niketan,Uttar Pradesh,56,29,19,35
R. N. D. Education Centre,Uttar Pradesh,4,4,4,4
Seth Rajaram Lakshmi Naraina Kukku Girls Inter College,Uttar Pradesh,8,0,0,3
Shivnath Shivdas Maurya Junior High School,Uttar Pradesh,2,0,1,1
Shivnath Shivdas Maurya Inter College,Uttar Pradesh,6,0,0,2
Surjan Singh Inter College,Uttar Pradesh,1,0,0,0
Swami Vivekanand Public School,Uttar Pradesh,3,18,45,22
Tilak Higher Secondary School,Uttar Pradesh,4,27,0,10
Uma Education Centre,Uttar Pradesh,18,0,0,6
Wisdom Public School,Uttar Pradesh,4,2,0,2
Angel Carmel Inter College,Uttar Pradesh,8,4,3,5
Angel Carmel Public School,Uttar Pradesh,28,1,3,11
Bhagwandeen Convent School,Uttar Pradesh,7,0,0,0
Bright Scholars Public School,Uttar Pradesh,9,0,0,3
Carrier Mount Montessori Junior High School,Uttar Pradesh,33,24,17,25
City Public School,Uttar Pradesh,49,1,2,17
Day Night Study Convent School,Uttar Pradesh,2,0,0,1
Dronacharya Academy,Uttar Pradesh,5,0,1,2
J. M. Public School,Uttar Pradesh,36,15,0,17
J. A. S. Convent Public School,Uttar Pradesh,8,0,0,3
Krishna Convent High School,Uttar Pradesh,27,8,0,12
Nainital Model School,Uttar Pradesh,2,0,0,1
Neeraj Public School,Uttar Pradesh,37,17,1,18
New Frobel Convent School,Uttar Pradesh,41,37,0,26
New Model Public school,Uttar Pradesh,48,29,20,32
Oxford Academy,Uttar Pradesh,19,26,6,17
Sacred Soul Public School,Uttar Pradesh,8,1,0,3
Shatabdi Madhyamic School,Uttar Pradesh,0,0,0,0
Sun Rise Career Convent School,Uttar Pradesh,29,15,1,15
Techno Academic School,Uttar Pradesh,7,2,1,3
Viveknand Public School,Uttar Pradesh,26,12,1,13
Akhilanand Gurukul Shiksha English School,Uttar Pradesh,16,30,6,17
Amar Shahid Public School,Uttar Pradesh,0,0,0,0
Beacon Public School,Uttar Pradesh,7,1,0,3
B. R. S. Public School,Uttar Pradesh,9,0,0,3
Deep Raaj Intermediate College,Uttar Pradesh,31,0,1,11
Divine Public  School,Uttar Pradesh,25,2,0,9
Divya Diamond Public School,Uttar Pradesh,2,0,0,1
Ganesh Junior High School,Uttar Pradesh,6,2,1,3
Janak Dulari Public School,Uttar Pradesh,12,0,3,5
Jesus Public School,Uttar Pradesh,0,1,0,0
Krishna Public School,Uttar Pradesh,1,0,0,0
Lucky Lawreance Public School,Uttar Pradesh,21,0,5,9
New Jai Hind Public School,Uttar Pradesh,31,20,11,21
Paineer Sainik School,Uttar Pradesh,4,13,0,6
Pushpa Junior High School,Uttar Pradesh,17,18,1,12
Pyare Lal Shiksha Niketan,Uttar Pradesh,12,49,0,20
Raj Convent School,Uttar Pradesh,0,13,7,7
Sant Avadhut Bhagvan Ram Public School,Uttar Pradesh,7,0,3,3
Sant Vinoba Kanya Vidyalaya,Uttar Pradesh,0,0,0,0
Satyama English School,Uttar Pradesh,0,9,0,3
Shanti Shiksha Niketan Public School,Uttar Pradesh,23,7,0,10
Srimati Rajeshwari Convent School,Uttar Pradesh,19,8,0,9
Thelma David Memorial School,Uttar Pradesh,5,3,20,9
The Modern Public School,Uttar Pradesh,27,40,21,29
The Modern Public School,Uttar Pradesh,0,40,21,20
Govt. Adarsh School Gauchar,Uttarakhand,21,19,32,24
Govt. Girls Inter College Gairsain,Uttarakhand,22,20,29,24
Govt. Girls  Junior High School Bonla Shrikot,Uttarakhand,14,10,5,10
Govt. Girls Inter College Karnaprayag,Uttarakhand,21,6,39,22
Govt. Girls Inter College Gopeshwar,Uttarakhand,21,0,3,8
Govt. Girls Upper Primary School Langasu,Uttarakhand,49,23,21,31
Govt. Girls Inter College Gauchar,Uttarakhand,22,3,9,11
Govt. Girls Upper Primary School Bangaon,Uttarakhand,19,24,38,27
Govt. Girls Junior High School Nandprayag,Uttarakhand,37,18,34,30
Govt. Girls Upper Primary School Nail Kudwa,Uttarakhand,8,8,11,9
Govt. Girls  Junior High School Sidoli,Uttarakhand,13,1,21,12
Govt. Girls High School Dungri Maikot,Uttarakhand,44,5,7,19
Govt. Girls High School Naigwad,Uttarakhand,28,2,4,11
Govt. High School Vijaysain,Uttarakhand,27,0,9,12
Govt. High School Panchali,Uttarakhand,2,8,2,4
Govt. High School Pajyanakhal,Uttarakhand,0,12,2,5
Govt. High School Devkhal,Uttarakhand,7,0,0,2
Govt. High School Gwad Devladhar,Uttarakhand,26,0,2,9
Govt. High School Malsi,Uttarakhand,2,1,2,2
Govt. High School Sonla,Uttarakhand,42,0,66,36
Govt. High School Mahergaon,Uttarakhand,19,0,23,14
Govt. High School Umatta,Uttarakhand,5,8,12,8
Govt. High School Chaurasain,Uttarakhand,14,12,7,11
Govt. High School Malari,Uttarakhand,39,0,26,22
Govt. Inter College Nandprayag,Uttarakhand,15,0,11,9
Govt. Inter College Sawarisian,Uttarakhand,9,0,6,5
Govt. Inter College Mana Ghingrana,Uttarakhand,23,0,34,19
Govt. Inter College Chinka,Uttarakhand,21,2,19,14
Govt. Inter College Pipalkoti,Uttarakhand,5,0,1,2
Govt. Inter College Agarchatti,Uttarakhand,2,0,10,4
Govt. Inter College Nandasain,Uttarakhand,10,2,20,11
Govt. Inter College Jaipur Kolsawn,Uttarakhand,11,0,22,11
Govt. Inter College Bhrarisain,Uttarakhand,8,2,14,8
Govt. Inter College Sidoli,Uttarakhand,12,0,6,6
Govt. Inter College Gauchar,Uttarakhand,28,0,5,11
Govt. Inter College Jakh,Uttarakhand,5,1,1,2
Govt. Inter College Gairsain,Uttarakhand,3,0,6,3
Govt. Inter College Alkapuri,Uttarakhand,19,3,5,9
Govt. Inter College Kankhul,Uttarakhand,13,1,14,9
Govt. Inter College Hargar,Uttarakhand,6,0,18,8
Govt. Inter College Bacheer,Uttarakhand,7,0,8,5
Govt. Inter College Rohida,Uttarakhand,6,2,0,3
Govt. Inter College Simli,Uttarakhand,2,0,19,7
Govt. Inter College Gopeshwar,Uttarakhand,19,0,2,7
Govt. Inter College Tangsa,Uttarakhand,40,3,56,33
Govt. Inter College Bairangana,Uttarakhand,28,1,4,11
Govt. Inter College Karnapryag,Uttarakhand,9,0,13,7
Govt. Inter College Naini,Uttarakhand,23,17,32,24
Govt. Inter College Gadora,Uttarakhand,20,2,18,13
Govt. Inter College Marora,Uttarakhand,5,0,9,5
Govt. Inter College Adibadri,Uttarakhand,4,0,19,8
Govt. Junior High School Bedi Talli,Uttarakhand,32,23,24,26
Govt Junior  High School  Idabadhani,Uttarakhand,13,2,9,8
Govt. Junior High School Sunak Gward,Uttarakhand,0,0,22,7
Govt. Junior Girls School Banjiyani,Uttarakhand,19,11,0,10
Govt. Junior High School Lasi,Uttarakhand,28,40,11,26
Govt. Junior High School Farkhande,Uttarakhand,7,5,0,4
Govt. Junior High School Saliyana,Uttarakhand,9,10,7,9
Govt. Junior Girls School Mahalchori,Uttarakhand,11,33,0,15
Govt. Junior High School Maithana,Uttarakhand,30,3,19,17
Govt. Junior High School Gaul,Uttarakhand,13,0,0,4
Govt.  Junior High School Dumduma,Uttarakhand,27,0,8,12
Govt. Junior High School Harmani,Uttarakhand,13,8,9,10
Govt. Junior High School Sarkot,Uttarakhand,40,43,32,38
Govt. Upper Primary School Jasyara,Uttarakhand,24,29,26,26
Govt. Upper Primary School Dusadgaon,Uttarakhand,15,2,18,12
Govt. Upper Primary School Bainoli,Uttarakhand,17,6,2,8
Govt. Upper Primary School Pudiyani,Uttarakhand,4,13,15,11
Govt. Upper Primary School Kalyari,Uttarakhand,31,18,5,18
Govt. Upper Primary School Pathiyaldhar,Uttarakhand,12,0,16,9
Govt. Upper Primary School  Kunkuli,Uttarakhand,21,5,7,11
Govt. Upper Primary Gward,Uttarakhand,32,26,1,20
Govt. Upper Primary School Pilang,Uttarakhand,21,4,21,15
Jai Durga Janta Inter College Kheti,Uttarakhand,27,11,36,25
Rajiv Gandhi Navodya Vidyalaya,Uttarakhand,5,0,11,5
